feature_no,feature_name,dataset_name,dataset_url,data_type,modality,geography,time_span,size_or_scale,license_or_access,status,fit
11,Satellite Crop Stress Prediction,CropScape/CDL,https://nassgeodata.gmu.edu/CropScape/,Crop-type map,Raster,US,Annual,30m annual crop maps,Public US data,Verified source,Crop masking/context
12,Drone/Video Plant Counting,UAV Rice Plant Counting OPIA,https://ngdc.cncb.ac.cn/opia/dataset/datasets?dataId=4,Plant counting,UAV RGB images,China,Static,109 images/~415MB,Check OPIA terms,Verified source,Direct counting benchmark
12,Drone/Video Plant Counting,Kaggle rice plant counting search,https://www.kaggle.com/search?q=rice+plant+counting,Plant counting,Images,Multiple,Varies,Varies,Varies by dataset,Discovery page,Supplemental sources
12,Drone/Video Plant Counting,Crowd counting benchmarks,https://www.crowdcounting.org/,Counting benchmark,Images,General,Static,Multiple datasets,Varies,Verified source,Detector/density-model debugging
13,Weed Species Classification,Weed25,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.1053329/full,Weed species,Images + labels,Field,Static,14023 images/25 categories,Research publication; verify dataset terms,Verified source,Primary weed classifier
13,Weed Species Classification,DeepWeeds,https://github.com/AlexOlsen/DeepWeeds,Weed species,Images + labels,Australia/field,Static,Large field image set,Repository/license terms,Verified source,Field weed recognition
13,Weed Species Classification,Kaggle weed classification search,https://www.kaggle.com/search?q=weed+classification,Weed images,Images,Multiple,Varies,Varies,Discovery page,Additional species diversity
14,Grain Quality Scoring,GrainSet,https://github.com/hellodfan/GrainSet,Grain kernel inspection,Images + masks/labels,Multiple crops,Static,~200K wheat + 19K maize + 102K sorghum + 31K rice,CC BY 4.0 reported,Verified source,Primary grain quality vision data
14,Grain Quality Scoring,GrainSet Wheat,https://doi.org/10.6084/m9.figshare.22992317.v2,Wheat kernels,Images + masks,Research dataset,Static,200K+,CC BY 4.0,Verified DOI,High-volume training
14,Grain Quality Scoring,GrainSet Rice,https://doi.org/10.6084/m9.figshare.22987292.v3,Rice kernels,Images,Research dataset,Static,31K,CC BY 4.0 reported,Verified DOI,Rice quality model
15,Hyperlocal Mandi Price Forecasting,AGMARKNET,https://agmarknet.gov.in/,Mandi prices,Time series,India,Historical/current,Large,Public portal terms,Verified source,Primary forecasting data
15,Hyperlocal Mandi Price Forecasting,data.gov.in agricultural markets,https://www.data.gov.in/,Market data,Tabular/API,India,Historical/current,Large,Government open data,Verified source,Market regressors and price target
15,Hyperlocal Mandi Price Forecasting,FAOSTAT,https://www.fao.org/faostat/en/,Commodity data,Time series,Global,Long-term,Large,FAO terms,Verified source,External benchmark
16,Yield Forecasting with Uncertainty,CYCleSS,https://springernature.figshare.com/articles/dataset/CYCleSS_the_Crop_Yields_Climate_Soils_and_Satellites_Dataset/27225807,Yield + weather + soil + satellite,Multimodal,England,Historical,934 fields,CC0 reported,Verified source,Direct multimodal yield data
16,Yield Forecasting with Uncertainty,FAOSTAT Crop Products,https://www.fao.org/faostat/en/#data/QCL,Crop yield,Time series,Global,Long-term,Large,FAO terms,Verified source,Long-run benchmark
16,Yield Forecasting with Uncertainty,USDA NASS Quick Stats,https://quickstats.nass.usda.gov/,Crop yields,Time series,US,Historical/current,Large,Public/registration,Verified source,Regional yield benchmark
17,Water Demand Forecasting,Yellow River Basin irrigation demand,https://zenodo.org/records/18628324,Irrigation demand,Raster time series,China,2000-2020,500m/25 crops,CC BY 4.0,Verified source,Direct demand target
17,Water Demand Forecasting,ERA5-Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,Climate/land reanalysis,Gridded time series,Global,Historical/current,Very large,Open/Copernicus terms,Verified source,Water-demand predictors
17,Water Demand Forecasting,NASA GLDAS,https://disc.gsfc.nasa.gov/datasets?project=GLDAS,Land/hydrology,Gridded time series,Global,Historical,Large,Earthdata terms,Verified source,Soil moisture/ET predictors
18,Soil Health Modeling,SoilHealthDB,https://agdatacommons.nal.usda.gov/articles/dataset/Data_from_A_database_for_global_soil_health_assessment/24853500,Soil health,Tabular,Global,Historical,5907 rows x 268 columns; 354 sites,CC BY 4.0 reported,Verified source,Direct soil-health modeling
18,Soil Health Modeling,SoilGrids,https://soilgrids.org/,Soil properties,Raster,Global,Current,250m soil maps,Open/CC0 terms reported,Verified source,Spatial soil covariates
18,Soil Health Modeling,WOSIS,https://www.isric.org/explore/wossis,Soil observations,Tabular/geospatial,Global,Historical,Large,ISRIC terms,Verified source,Validation/enrichment
19,Variety Recommendation Engine,CGIAR/CIMMYT,https://www.cimmyt.org/,Variety trials and breeding,Tabular/multimodal,Multiple regions,Historical,Multiple trials,Varies by resource,Verified organization source,Variety x environment performance
19,Variety Recommendation Engine,Genesys PGR,https://www.genesys-pgr.org/,Plant genetic resources,Metadata,Global,Current,Large accession metadata,Resource-specific terms,Verified source,Variety characteristics
19,Variety Recommendation Engine,USDA NASS Quick Stats,https://quickstats.nass.usda.gov/,Crop performance,Time series,US,Historical/current,Large,Public/registration,Verified source,Regional performance context
20,Pest Outbreak Spread Prediction,FAO Locust Watch,https://www.fao.org/locust-watch/,Locust monitoring,Geospatial/time series,Multiple regions,Historical/current,Large/varies,FAO terms,Verified source,Outbreak evidence
20,Pest Outbreak Spread Prediction,NASA Earthdata,https://www.earthdata.nasa.gov/,Earth observation/climate,Raster/time series,Global,Historical/current,Very large,Earthdata terms,Verified source,Environmental outbreak predictors
20,Pest Outbreak Spread Prediction,FAOSTAT,https://www.fao.org/faostat/en/,Agricultural context,Tabular,Global,Long-term,Large,FAO terms,Verified source,Crop context and risk features
21,Voice-First AI Assistant,Mozilla Common Voice,https://commonvoice.mozilla.org/en/datasets,Speech + transcripts,Audio/text,Multilingual,Multiple releases,Very large,CC0 reported,Verified source,ASR training/evaluation
21,Voice-First AI Assistant,OpenSLR,https://www.openslr.org/,Speech corpora,Audio/text,Multilingual,Multiple,Large,Dataset-specific,Verified source,Additional ASR data
21,Voice-First AI Assistant,AI4Bharat,https://ai4bharat.iitm.ac.in/,Indic speech/NLP,Audio/text,India,Multiple resources,Large,Resource-specific terms,Verified source,Indian-language support
22,Multimodal Query Understanding,MS COCO,https://cocodataset.org/,Image captions/objects,Image+text,Global,Static,Large benchmark,CC BY 4.0 for annotations/captions context,Verified source,Vision-language pretraining/evaluation
22,Multimodal Query Understanding,VQA v2,https://visualqa.org/,Visual QA,Image+text,COCO,Static,Large QA benchmark,Dataset terms,Verified source,Multimodal QA training
22,Multimodal Query Understanding,GQA,https://cs.stanford.edu/people/dorarad/gqa/,Compositional visual QA,Image+text,Global,Static,Large benchmark,Dataset terms,Verified source,Reasoning benchmark
23,RL Crop Rotation Planner,AgMIP,https://agmip.org/,Agricultural scenario data,Model outputs/tabular,Global,Multiple scenarios,Large/varies,Project terms,Verified source,Scenario/reward generation
23,RL Crop Rotation Planner,DSSAT,https://dssat.net/,Crop growth simulation,Simulation/tabular,Global,Scenario-based,Model-driven,Open project/model terms,Verified source,Generate rotation outcomes
23,RL Crop Rotation Planner,APSIM,https://www.apsim.info/,Crop/system simulation,Simulation/tabular,Global,Scenario-based,Model-driven,Open project/model terms,Verified source,Generate process-based rewards
24,Dynamic Equipment/Logistics Routing,Solomon VRPTW benchmark,https://www.sintef.no/projectweb/top/vrptw/solomon-benchmark/,Vehicle routing,Tabular coordinates/demand,Global,Static benchmark,Classic instances,Public research benchmark,Verified source,Routing benchmark
24,Dynamic Equipment/Logistics Routing,CVRPLIB,http://vrp.atd-lab.inf.puc-rio.br/index.php/en/,Vehicle routing,Tabular,Global,Static/multiple,Many instances,Public benchmark,Verified source,Large routing benchmark collection
24,Dynamic Equipment/Logistics Routing,OpenStreetMap,https://www.openstreetmap.org/,Road network,Geospatial,Global,Current,Very large,ODbL,Verified source,Real route graph
25,Federated Learning Across Farms,LEAF,https://leaf.cmu.edu/,Federated ML benchmarks,Images/tabular,Global,Static,Multiple benchmarks,Open/research terms,Verified source,Federated client simulation
25,Federated Learning Across Farms,FedML,https://fedml.ai/,Federated datasets/benchmarks,Multiple,Global,Multiple,Multiple datasets,Project terms,Verified source,Federated infrastructure/testing
25,Federated Learning Across Farms,PlantVillage client partitions,https://github.com/spMohanty/PlantVillage-Dataset,Plant disease,Images,Global,Static,54K+ images,CC BY 4.0 reported,Verified source,Partition by simulated farm/client
26,Learned Buyer-Farmer Matching,UN Comtrade,https://comtradeplus.un.org/,Trade flows,Tabular,Global,Historical/current,Very large,Free/API terms,Verified source,Market demand/supply proxy
26,Learned Buyer-Farmer Matching,FAOSTAT Trade,https://www.fao.org/faostat/en/#data/TCL,Agri trade,Tabular,Global,Long-term,Large,FAO terms,Verified source,Commodity flow features
26,Learned Buyer-Farmer Matching,data.gov.in,https://www.data.gov.in/,Indian market data,Tabular/API,India,Historical/current,Large,Government open data,Verified source,Geography/price/matching features
27,Counterfactual What-If Simulator,DSSAT,https://dssat.net/,Crop simulation,Simulation/tabular,Global,Scenario-based,Model-driven,Project/model terms,Verified source,Ground-truth counterfactual scenarios
27,Counterfactual What-If Simulator,APSIM,https://www.apsim.info/,Crop/system simulation,Simulation/tabular,Global,Scenario-based,Model-driven,Project/model terms,Verified source,Alternative management scenarios
27,Counterfactual What-If Simulator,AgMIP,https://agmip.org/,Climate/crop scenarios,Simulation/model outputs,Global,Multiple scenario years,Large/varies,Project terms,Verified source,Scenario generation
28,Anomaly Detection for Fraud/Quality,MVTec AD,https://www.mvtec.com/company/research/datasets/mvtec-ad,Industrial anomaly,Images,Global,Static,Large benchmark,CC BY-NC-SA reported,Verified source,Visual anomaly model benchmark
28,Anomaly Detection for Fraud/Quality,UCI Credit Card Fraud via Kaggle,https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud,Transaction fraud,Tabular,Europe,Static snapshot,284807 transactions,CC BY-NC-SA 3.0 reported by dataset lineage,Verified landing page,Fraud anomaly prototype
28,Anomaly Detection for Fraud/Quality,Kaggle agricultural anomaly search,https://www.kaggle.com/search?q=agriculture+anomaly+detection,Domain anomaly,Varies,Multiple,Varies,Varies,Dataset-specific,Discovery page,Supplemental agriculture data
29,Climate Risk Scoring per Field,WorldClim 2.1,https://www.worldclim.org/data/worldclim21.html,Climate normals,Raster,Global,1970-2000 baseline,Large raster,CC BY-NC 4.0 reported,Verified source,Climate risk baseline
29,Climate Risk Scoring per Field,ERA5-Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land,Weather extremes,Gridded time series,Global,Historical/current,Very large,Open/Copernicus terms,Verified source,Temporal risk features
29,Climate Risk Scoring per Field,NASA GPM IMERG,https://gpm.nasa.gov/data/imerg,Satellite precipitation,Raster time series,Global,2000-present,Large,Earthdata terms,Verified source,Flood/drought precipitation risk
40,Variable-Rate Application Engine,CropScape/CDL,https://nassgeodata.gmu.edu/CropScape/,Crop type,Raster,US,Annual,30m annual,Public US data,Verified source,Field/crop zone context
40,Variable-Rate Application Engine,SoilGrids,https://soilgrids.org/,Soil properties,Raster,Global,Current,250m,Open/CC0 terms reported,Verified source,Spatial application-rate predictors
40,Variable-Rate Application Engine,Sentinel-2,https://dataspace.copernicus.eu/,Vegetation indices,Raster time series,Global,2015-present,Very large,EU Copernicus terms,Verified source,Within-field variability
44,AI-Recommended Inputs & Delivery,FAOSTAT,https://www.fao.org/faostat/en/,Fertilizer/input statistics,Tabular,Global,Long-term,Large,FAO terms,Verified source,Input-demand priors
44,AI-Recommended Inputs & Delivery,Crop Recommendation Dataset,https://www.kaggle.com/datasets/atharvaingle/crop-recommendation-dataset,Crop/soil recommendation,Tabular,General,Static,Small,Kaggle license varies,Verified landing page,Direct input/crop recommendation baseline
44,AI-Recommended Inputs & Delivery,USDA NASS Quick Stats,https://quickstats.nass.usda.gov/,Agricultural statistics,Tabular,US,Historical/current,Large,Public/registration,Verified source,Regional demand context
48,CEA Energy Optimization,Kaggle greenhouse energy search,https://www.kaggle.com/search?q=greenhouse+energy,Greenhouse energy/climate,Time series,Multiple,Varies,Varies,Dataset-specific,Discovery page,CEA sensor-energy data discovery
48,CEA Energy Optimization,ASHRAE Great Energy Predictor,https://www.kaggle.com/c/ashrae-energy-prediction,Building energy,Time series,Global benchmark,2016-era data,Millions of rows,Competition terms,Verified source,Energy optimization/controller benchmark
48,CEA Energy Optimization,Zenodo greenhouse energy search,https://zenodo.org/search?q=greenhouse%20energy,Greenhouse sensors/energy,Time series,Multiple,Multiple releases,Varies,Dataset-specific,Discovery page,CEA-specific research data
50,Farm Credit & Alternative-Data Loan Marketplace,World Bank Global Findex,https://www.worldbank.org/en/publication/globalfindex,Financial inclusion,Survey/tabular,Global,Multi-year,Large survey,World Bank terms,Verified source,Credit-access features
50,Farm Credit & Alternative-Data Loan Marketplace,UCI Statlog German Credit,https://archive.ics.uci.edu/dataset/144/statlog+german+credit+data,Credit risk,Tabular,Germany,Static,1000 records,Dataset terms,Verified source,Algorithm prototype only
50,Farm Credit & Alternative-Data Loan Marketplace,World Bank Agriculture Data,https://data.worldbank.org/topic/agriculture-and-rural-development,Agriculture/rural indicators,Tabular,Global,Historical/current,Large,World Bank terms,Verified source,Alternative-data covariates
51,Livestock & Dairy Health Management,Kaggle cattle disease image search,https://www.kaggle.com/search?q=cattle+disease+image,Veterinary disease,Images,Multiple,Varies,Varies,Dataset-specific,Discovery page,Veterinary CV prototype
51,Livestock & Dairy Health Management,Hugging Face livestock disease search,https://huggingface.co/datasets?search=livestock%20disease,Livestock disease,Images/text,Multiple,Varies,Varies,Dataset-specific,Discovery page,Additional multimodal resources
51,Livestock & Dairy Health Management,FAOSTAT livestock,https://www.fao.org/faostat/en/#data/QCL,Livestock production,Tabular,Global,Long-term,Large,FAO terms,Verified source,Herd/production context
55,Institutional & Retail B2B Sales Channel,UN Comtrade,https://comtradeplus.un.org/,Trade demand,Tabular,Global,Historical/current,Very large,Free/API terms,Verified source,B2B demand proxy
55,Institutional & Retail B2B Sales Channel,FAOSTAT Trade,https://www.fao.org/faostat/en/#data/TCL,Trade flows,Tabular,Global,Long-term,Large,FAO terms,Verified source,B2B market signals
55,Institutional & Retail B2B Sales Channel,data.gov.in,https://www.data.gov.in/,Indian market data,Tabular/API,India,Historical/current,Large,Government open data,Verified source,B2B geography/price context
56,Community Pest & Disease Surveillance Network,PlantVillage,https://github.com/spMohanty/PlantVillage-Dataset,Plant disease,Images + labels,Global,Static,54K+ images,CC BY 4.0 reported,Verified source,Disease evidence aggregation
56,Community Pest & Disease Surveillance Network,FAO Locust Watch,https://www.fao.org/locust-watch/,Pest surveillance,Geospatial/time series,Multiple regions,Historical/current,Large/varies,FAO terms,Verified source,Community/regional pest signal
56,Community Pest & Disease Surveillance Network,GBIF,https://www.gbif.org/,Species occurrence,Geospatial observations,Global,Historical/current,Very large,GBIF data terms,Verified source,Species occurrence context
56,Community Pest & Disease Surveillance Network,iNaturalist,https://www.inaturalist.org/,Community observations,Images/geospatial,Global,Historical/current,Very large,Project/license varies,Verified source,Community image/geolocation evidence
